Source,Target,Weight,Type
Baudeau_1,Baudeau_2,1806,undirected
Baudeau_1,dHolbach_1,355,undirected
Baudeau_1,Guibert_1,15,undirected
Baudeau_1,Guibert_2,317,undirected
Baudeau_1,Jussieu_1,708,undirected
Baudeau_1,Morellet_1,352,undirected
Baudeau_1,Morellet_2,4,undirected
Baudeau_1,Rivière_1,654,undirected
Baudeau_1,Rivière_2,160,undirected
Baudeau_2,Baudeau_1,1806,undirected
Baudeau_2,Condorcet_1,38,undirected
Baudeau_2,Condorcet_2,12,undirected
Baudeau_2,dHolbach_1,260,undirected
Baudeau_2,dHolbach_2,18,undirected
Baudeau_2,fr_la vie sauvage_1,73,undirected
Baudeau_2,fr_la vie sauvage_2,19,undirected
Baudeau_2,Jussieu_1,68,undirected
Baudeau_2,Jussieu_2,580,undirected
Baudeau_2,Morellet_1,550,undirected
Baudeau_2,Morellet_2,147,undirected
Baudeau_2,Rivière_1,583,undirected
Chastellux_1,Chastellux_2,1806,undirected
Chastellux_1,Diderot II_1,23,undirected
Chastellux_1,fr_la vie sauvage_2,26,undirected
Chastellux_1,Guibert_1,1007,undirected
Chastellux_1,Guibert_2,254,undirected
Chastellux_1,Jaucourt_1,3,undirected
Chastellux_1,Jussieu_2,54,undirected
Chastellux_1,Morellet_2,19,undirected
Chastellux_1,Naigeon_2,3,undirected
Chastellux_1,Pechméja_1,2,undirected
Chastellux_1,Pechméja_2,13,undirected
Chastellux_1,Raynal_1,758,undirected
Chastellux_1,Raynal_2,228,undirected
Chastellux_1,Saint-Lambert_2,14,undirected
Chastellux_2,Chastellux_1,1806,undirected
Chastellux_2,Diderot II_1,4,undirected
Chastellux_2,Guibert_1,37,undirected
Chastellux_2,Guibert_2,75,undirected
Chastellux_2,Jaucourt_2,336,undirected
Chastellux_2,Jussieu_1,218,undirected
Chastellux_2,Jussieu_2,47,undirected
Chastellux_2,Morellet_1,321,undirected
Chastellux_2,Raynal_1,408,undirected
Chastellux_2,Raynal_2,52,undirected
Chastellux_2,Saint-Lambert_2,4,undirected
Condorcet_1,Baudeau_2,38,undirected
Condorcet_1,Condorcet_2,1806,undirected
Condorcet_1,dHolbach_1,2,undirected
Condorcet_1,fr_la vie sauvage_1,320,undirected
Condorcet_1,Guibert_2,60,undirected
Condorcet_1,Jussieu_1,240,undirected
Condorcet_1,Jussieu_2,203,undirected
Condorcet_1,Morellet_2,138,undirected
Condorcet_1,Rivière_1,185,undirected
Condorcet_1,Rivière_2,165,undirected
Condorcet_2,Baudeau_2,12,undirected
Condorcet_2,Condorcet_1,1806,undirected
Condorcet_2,Deleyre_1,4,undirected
Condorcet_2,dHolbach_1,429,undirected
Condorcet_2,fr_la vie sauvage_1,3,undirected
Condorcet_2,fr_la vie sauvage_2,41,undirected
Condorcet_2,Guibert_2,37,undirected
Condorcet_2,Jussieu_1,89,undirected
Condorcet_2,Jussieu_2,564,undirected
Condorcet_2,Morellet_1,1,undirected
Condorcet_2,Morellet_2,248,undirected
Condorcet_2,Rivière_2,2,undirected
Condorcet_2,Saint-Lambert_1,25,undirected
Condorcet_2,Saint-Lambert_2,12,undirected
Deleyre_1,Condorcet_2,4,undirected
Deleyre_1,Deleyre_2,1806,undirected
Deleyre_1,Diderot_2,37,undirected
Deleyre_1,Guibert_1,4,undirected
Deleyre_1,Jaucourt_1,7,undirected
Deleyre_1,Jaucourt_2,35,undirected
Deleyre_1,La Grange_1,1060,undirected
Deleyre_1,La Grange_2,742,undirected
Deleyre_1,Pechméja_2,129,undirected
Deleyre_1,Raynal_1,121,undirected
Deleyre_1,Raynal_2,7,undirected
Deleyre_2,Deleyre_1,1806,undirected
Deleyre_2,Diderot_2,6,undirected
Deleyre_2,Jaucourt_1,17,undirected
Deleyre_2,Jussieu_2,8,undirected
Deleyre_2,La Grange_1,349,undirected
Deleyre_2,La Grange_2,5,undirected
Deleyre_2,Pechméja_1,99,undirected
Deleyre_2,Raynal_1,187,undirected
Deleyre_2,Raynal_2,483,undirected
Deleyre_2,Saint-Lambert_1,10,undirected
dHolbach_1,Baudeau_1,355,undirected
dHolbach_1,Baudeau_2,260,undirected
dHolbach_1,Condorcet_1,2,undirected
dHolbach_1,Condorcet_2,429,undirected
dHolbach_1,dHolbach_2,1805,undirected
dHolbach_1,fr_la vie sauvage_1,67,undirected
dHolbach_1,fr_la vie sauvage_2,25,undirected
dHolbach_1,Meister_2,20,undirected
dHolbach_1,Rivière_1,19,undirected
dHolbach_1,Rivière_2,197,undirected
dHolbach_1,Saint-Lambert_1,804,undirected
dHolbach_1,Saint-Lambert_2,472,undirected
dHolbach_2,Baudeau_2,18,undirected
dHolbach_2,dHolbach_1,1805,undirected
dHolbach_2,Jaucourt_1,536,undirected
dHolbach_2,Meister_1,252,undirected
dHolbach_2,Meister_2,424,undirected
dHolbach_2,Naigeon_1,324,undirected
dHolbach_2,Rivière_1,6,undirected
dHolbach_2,Rivière_2,80,undirected
dHolbach_2,Saint-Lambert_1,178,undirected
dHolbach_2,Saint-Lambert_2,140,undirected
Diderot II_1,Chastellux_1,23,undirected
Diderot II_1,Chastellux_2,4,undirected
Diderot II_1,Diderot II_2,1806,undirected
Diderot II_1,Diderot_1,1375,undirected
Diderot II_1,Diderot_2,725,undirected
Diderot II_1,fr_la vie sauvage_2,65,undirected
Diderot II_1,Jaucourt_2,15,undirected
Diderot II_1,Meister_1,546,undirected
Diderot II_1,Naigeon_2,16,undirected
Diderot II_2,Diderot II_1,1806,undirected
Diderot II_2,Diderot_1,986,undirected
Diderot II_2,Diderot_2,795,undirected
Diderot II_2,Meister_1,139,undirected
Diderot II_2,Meister_2,7,undirected
Diderot II_2,Naigeon_1,6,undirected
Diderot II_2,Naigeon_2,296,undirected
Diderot_1,Diderot II_1,1375,undirected
Diderot_1,Diderot II_2,986,undirected
Diderot_1,Diderot_2,1454,undirected
Diderot_1,fr_la vie sauvage_1,51,undirected
Diderot_1,fr_la vie sauvage_2,137,undirected
Diderot_1,Jaucourt_1,78,undirected
